strain	virus_name	genbank_accession	lineage	country
XM_example_1	USA/NY-Broad-CRSP_WH5TJZ42BYV4BC3T/2022	ON199453.1	XM	USA
XM_example_2	England/MILK-3796834/2022	OW090848.1	XM	England
proposed467_example_1	USA/VT-CDCBI-CRSP_LEYQGGQYKC7CTXDR/2022	OM662958.1	proposed467	USA
proposed_467_example_2	USA/VT-CDCBI-CRSP_I2HZVRBGKZFGY3K2/2022	OM738929.1	proposed467	USA
miscBA1BA2Post17k_example_1	England/MILK-34EAF6C/2022	OV891827.1	miscBA1BA2Post17k	England
miscBA1BA2Post17k_example_2	USA/NJ-CDC-LC0567807/2022	ON152137.1	miscBA1BA2Post17k	USA
